"filename", "language", "C++", "Makefile", "Log", "Properties", "comment", "blank", "total"
"/Users/nazouz/Desktop/Webserv/Config/Blocks.cpp", "C++", 139, 0, 0, 0, 14, 38, 191
"/Users/nazouz/Desktop/Webserv/Config/Config.cpp", "C++", 106, 0, 0, 0, 14, 23, 143
"/Users/nazouz/Desktop/Webserv/Config/Config.hpp", "C++", 115, 0, 0, 0, 13, 22, 150
"/Users/nazouz/Desktop/Webserv/Config/Parsing.cpp", "C++", 126, 0, 0, 0, 12, 15, 153
"/Users/nazouz/Desktop/Webserv/Config/ServerConstructor.cpp", "C++", 100, 0, 0, 0, 15, 22, 137
"/Users/nazouz/Desktop/Webserv/Config/Validators.cpp", "C++", 137, 0, 0, 0, 11, 25, 173
"/Users/nazouz/Desktop/Webserv/Config/default.conf", "Properties", 0, 0, 0, 12, 0, 4, 16
"/Users/nazouz/Desktop/Webserv/Config/main.cpp", "C++", 14, 0, 0, 0, 13, 7, 34
"/Users/nazouz/Desktop/Webserv/Logs/webserv.log", "Log", 0, 0, 0, 0, 0, 1, 1
"/Users/nazouz/Desktop/Webserv/Main/Webserv.cpp", "C++", 108, 0, 0, 0, 12, 25, 145
"/Users/nazouz/Desktop/Webserv/Main/Webserv.hpp", "C++", 25, 0, 0, 0, 11, 10, 46
"/Users/nazouz/Desktop/Webserv/Makefile", "Makefile", 0, 33, 0, 0, 11, 13, 57
"/Users/nazouz/Desktop/Webserv/Misc/Notes.cpp", "C++", 0, 0, 0, 0, 23, 7, 30
"/Users/nazouz/Desktop/Webserv/Request/Body.cpp", "C++", 184, 0, 0, 0, 23, 34, 241
"/Users/nazouz/Desktop/Webserv/Request/Headers.cpp", "C++", 177, 0, 0, 0, 17, 37, 231
"/Users/nazouz/Desktop/Webserv/Request/Request.cpp", "C++", 35, 0, 0, 0, 13, 13, 61
"/Users/nazouz/Desktop/Webserv/Request/Request.hpp", "C++", 102, 0, 0, 0, 21, 22, 145
"/Users/nazouz/Desktop/Webserv/Request/_ControlCenter.cpp", "C++", 44, 0, 0, 0, 14, 7, 65
"/Users/nazouz/Desktop/Webserv/Server/Client.cpp", "C++", 13, 0, 0, 0, 11, 11, 35
"/Users/nazouz/Desktop/Webserv/Server/Client.hpp", "C++", 15, 0, 0, 0, 12, 7, 34
"/Users/nazouz/Desktop/Webserv/Server/Server.cpp", "C++", 141, 0, 0, 0, 26, 33, 200
"/Users/nazouz/Desktop/Webserv/Server/Server.hpp", "C++", 49, 0, 0, 0, 14, 20, 83
"/Users/nazouz/Desktop/Webserv/Utils/Helpers.cpp", "C++", 70, 0, 0, 0, 40, 19, 129
"/Users/nazouz/Desktop/Webserv/main.cpp", "C++", 13, 0, 0, 0, 12, 7, 32
"Total", "-", 1713, 33, 0, 12, 352, 422, 2532
